"1","017.6","TUBERCULOSIS OF ADRENAL GLANDS","TUBERCULOSIS OF ADRENAL GLANDS","Tuberculosis of adrenal glands","S",false,false,"01/01/2008","12/31/2100"
"2","017.60","TB ADRENAL GLANDS CONF UNSPEC","TUBERCULOSIS ADRENAL GLANDS CONFIRMATION UNSPEC","Tuberculosis of adrenal glands, confirmation unspecified","S",false,true,"01/01/2008","12/31/2100"
"3","017.61","TB ADRENL GLND EX NOT DONE","TB ADRENL GLND EX NOT DONE","Tuberculosis of adrenal glands, bacteriological or histological examination not done","S",false,true,"01/01/2008","12/31/2100"
"4","017.62","TB ADRENL GLND EX UNKN","TB ADRENL GLND EX UNKN","Tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)","S",false,true,"01/01/2008","12/31/2100"
"5","017.63","TB OF ADRENAL-MICRO DX","TB ADRENAL GLANDS TUBERCLE BACILLI FOUND MIC","Tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy","S",false,true,"01/01/2008","12/31/2100"
"6","017.64","TB OF ADRENAL-CULT DX","TB OF ADRENAL GLANDS-CULT DX","Tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","S",false,true,"01/01/2008","12/31/2100"
"7","017.65","TB OF ADRENAL-HISTO DX","TB OF ADRENAL GLANDS-HISTO DX","Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","S",false,true,"01/01/2008","12/31/2100"
"8","017.66","TB OF ADRENAL-OTH TEST","TB OF ADRENAL GLANDS-OTH TEST","Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","S",false,true,"01/01/2008","12/31/2100"
"9","017.7","TUBERCULOSIS OF SPLEEN","TUBERCULOSIS OF SPLEEN","Tuberculosis of spleen","S",false,false,"01/01/2008","12/31/2100"
"10","017.70","TUBERCULOSIS SPLEEN CONF UNSPEC","TUBERCULOSIS OF SPLEEN CONFIRMATION UNSPECIFIED","Tuberculosis of spleen, confirmation unspecified","S",false,true,"01/01/2008","12/31/2100"
"11","017.71","TB SPLEEN EX NOT DONE","TB SPLEEN EX NOT DONE","Tuberculosis of spleen, bacteriological or histological examination not done","S",false,true,"01/01/2008","12/31/2100"
"12","017.72","TB SPLEEN EX UNKN","TB SPLEEN BACTERIOLOGICAL/HISTOLOGICAL EX UNKN","Tuberculosis of spleen, bacteriological or histological examination unknown (at present)","S",false,true,"01/01/2008","12/31/2100"
"13","017.73","TB SPLEEN TUBERCL BACILLI FOUND MIC","TUBERCULOSIS SPLEEN TUBERCLE BACILLI FOUND MIC","Tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy","S",false,true,"01/01/2008","12/31/2100"
"14","017.74","TB OF SPLEEN-CULT DX","TB OF SPLEEN-CULT DX","Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","S",false,true,"01/01/2008","12/31/2100"
"15","017.75","TB OF SPLEEN-HISTO DX","TB OF SPLEEN-HISTO DX","Tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","S",false,true,"01/01/2008","12/31/2100"
